# node_id   x   y   h
435 -1.95963644e+01 -1.24875770e+01 5.91529217e+00
436 -1.82886721e+01 -1.24875770e+01 5.32691612e+00
437 -1.69809798e+01 -1.24875770e+01 4.74103819e+00
438 -1.56732875e+01 -1.24875770e+01 4.17411107e+00
439 -1.43655952e+01 -1.24875770e+01 3.61922505e+00
440 -1.30579028e+01 -1.24875770e+01 3.06433904e+00
441 -1.17502105e+01 -1.24875770e+01 2.52206222e+00
442 -1.04425182e+01 -1.24875770e+01 2.02088362e+00
443 -9.13482592e+00 -1.24875770e+01 1.52189811e+00
444 -7.82713362e+00 -1.24875770e+01 1.04658548e+00
445 -6.51944131e+00 -1.24875770e+01 6.25736217e-01
446 -5.21174900e+00 -1.24875770e+01 2.12939906e-01
447 1.32671254e+00 -1.24875770e+01 8.40555236e-02
448 2.63440485e+00 -1.24875770e+01 5.13173699e-01
449 3.94209715e+00 -1.24875770e+01 9.85607951e-01
450 5.24978946e+00 -1.24875770e+01 1.50093576e+00
451 6.55748177e+00 -1.24875770e+01 1.04930257e+00
452 7.86517408e+00 -1.24875770e+01 4.72723459e-01
453 -2.54809798e+01 -1.13550822e+01 8.82850827e+00
454 -2.41732875e+01 -1.13550822e+01 8.22645666e+00
455 -2.28655952e+01 -1.13550822e+01 7.63326042e+00
456 -2.15579028e+01 -1.13550822e+01 7.04488437e+00
457 -2.02502105e+01 -1.13550822e+01 6.45639236e+00
458 -1.89425182e+01 -1.13550822e+01 5.87285927e+00
